GDP 
2102862.82
2042870.16
2225135.23
2365461.4
2205223.44
2195945.88
2344767.21
2467081.87
2347396.37
2357078.87
2497997.34
2598897.56
2535750.59
2562241.58
2645947.14
2783733.23
2728278.58
2768087.1
2836387.39
3036737.91
2965087.78
3035755.83
3079621.61
3227728.31
3146336.28
3197195.49
3284991.66
3516058.35
3384140.83
3404720.02
3492973.25
3721482.15
